DYNC1I1
TXNL4B
GATA3
AURKAIP1
CDK2AP1
BABAM1
CTDSP1
JMY
CNEP1R1
MAP3K1
MCM5
MCM4
NAA50
TTK
CCDC69
CEP57
E2F8
PSMC3IP
CEP120
WRAP73
GNAI3
PRKCE
KLHL13
RAB11A
EIF2AK4
KLHL42
SUZ12
BTC
KLHL9
CEP126
ATP2B4
SMPD3
MDM2
DSCC1
KHDRBS1
CDKL2
BCCIP
PAK5
MCMDC2
RCC2
DDX3X
NUP85
CCNYL1
FBXO43
CNTD1
INTS3
PLK5
NPPC
ZW10
MSX2
EREG
USP22
PTCH1
TP53BP1
CHD3
GIPC1
WNT9A
KLF11
MAP4K2
LIF
NEK6
CDC20
SMARCB1
SLF1
MAP2K3
EMD
ARPP19
MUS81
TBRG4
ESCO1
MCM3
PSMG2
FBXW5
POLE2
CHMP1B
SMC4
ID3
L3MBTL2
IRF6
BACH1
DRD3
LSM10
CETN1
HYAL1
PSMA7
CATSPERZ
FBXW7
NUP160
WASHC5
ARAP1
SIK1
PDCD2L
OSM
NEK9
MCIDAS
CYP27B1
PTP4A1
CDC25C
GAS6
TEX19
POC5
FZD3
DTL
TERB1
CUL5
PPP2CA
INHA
PBK
USP9X
CENPW
LIN54
AHR
RAD23A
PPM1A
PSMC5
PLCB1
PSMC1
ATF2
APP
EZR
WEE1
PPP1CB
CDK9
MARK4
CCND3
PPP1CA
KNTC1
CCND2
STK26
CDC27
REC8
CCNB2
OR2A4
FOXC1
TOP2B
CEP85
ING4
IGF1
IFNW1
E2F2
NPAT
DYNC1H1
DCTN1
BTG3
LRRCC1
PSMA6
PBX1
TIMELESS
POLE4
GAS1
MEIKIN
CDC14C
SIRT7
STRADB
TAF2
UBE2E2
SLC39A5
SVIL
BIN3
TNKS1BP1
ANLN
BRINP2
PRDM9
PAK6
CYP26B1
GPR132
CNOT6L
JADE1
INCENP
KMT5A
BIRC6
C8orf4
SRSF2
SUV39H2
PRKACB
INSM1
PSMD13
CCNO
DDX4
CALM2
EME1
TAF6
PSMC3
CDC14A
PTPN6
TSC2
CYLD
SOX15
PPP1R12B
TCF7L2
SSSCA1
RAD21
LMLN
MIIP
EHMT2
PPP1R13B
MOK
RGCC
GRK5
EVI2B
PSME3
CENPC
RPL26
MAX
CAMK2N1
MECOM
MSH4
TAS2R13
PRNP
NR3C1
CTBP1
ITGB3BP
FIGNL1
MIS18A
DONSON
CDK5R2
ATM
TIPIN
SKP2
TMOD3
CINP
CEP72
ANAPC11
KIFC1
DACT1
CDK5RAP1
SEPT14
UHRF1
NUP58
ACTR1A
ACTR2
SPHK1
SETDB2
ACTR3
SYCE2
SIN3A
HAUS3
AVPI1
PDGFRB
BIRC5
HHEX
PPP2R2D
HDAC3
PTEN
CDK5RAP2
AURKA
ACTR8
ECT2
