"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"CEP70",138,128.15,160,116,548.54,572.48,594.2,1702.49,1362.06,368.97,289,245,311,320,360,1087,887.38,183.34,274
"NLRC4",4,3,1,3,4,7,1,21,19,23,19,15,15,10,13,15,9,17,6
"PPIG",542.91,498,446.06,494,2974.23,3723.06,3613.03,2176.2,1548,1774.16,1739,1521,1204.99,1140.36,1295.03,2676.08,3066.82,1148.84,1955.97
"KIF25",23,24,23,16,1,2,3,2,3,7,3,2,3,3,0,210,73,0,2
"C1D",164,171,162,182.1,507,592,579,408.66,392,343.96,386.46,367.02,358,406.73,392,266.67,390.83,281,431
"CD99",337.34,338,365,301,1386.13,1433.63,1497,12402.15,11181.1,17601.33,20181.45,18275.11,13374.9,15274.65,15078.97,2921.24,4079.36,13214.78,15683.42
"EML2",88.59,88,85.53,69.62,219.09,148.76,211.12,570.28,745.72,641.39,655.87,430.88,1242.93,1159.87,1114.67,480.33,321.66,450.86,694
"TCEA1",1784.08,1773,1647.53,1669.71,4705.12,5420.59,5687.54,4063.44,2808.13,2674.27,2460.32,3054.23,2254,2409.11,2773.59,3082.85,3879.01,1456.45,2535.21
"DEFB133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLFN12L",0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.06,0,0,0,0
"KLHL36",164,162,150,133,378,307,379.14,610.01,473.97,507,459,413,522,552.39,633,293,222,419.99,596.19
"CGB2",3.97,1.84,5.61,0,5.17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOM1L2",47,46,38,35,114,121,149,728,526.98,559.59,625,706.11,2810.65,2285.63,2318.13,557,524.95,997.06,1600.38
"DPCD",136,157,124,151.17,326,410,362,1045,1061,315,316.77,365,440,429,380.92,413.93,498,114,220
"VWA1",679.06,689.64,743,604.95,1217.98,1504.33,1377,522.65,602.19,749.82,816.09,992.7,158,230,178.98,1558,861.95,1787.13,2139.56
"ZNF524",41,26.69,26,19,69,72,51,84,80,142,151,140,229,243.01,259.02,72,95,96.83,217
"NDUFB6",540,498,520,533,1206.22,1383,1232,1026.98,993.03,764,796,695,871.55,774.9,683,419.97,810,463,715
