"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"MKL2",223.41,243,246.99,240,779,808,988,1159,686.93,1494.01,1375,1057.95,583.02,686,788.4,2065.43,1708.7,1036,1910
"CD109",130.56,117.17,110.67,118.62,319.04,322.19,342.94,356.94,127.38,4847.29,5826.35,4561.27,8168.65,9118.38,11557.13,105.72,124.51,92.18,116.9
"ABTB1",53,38,44,40,104,89,111,97,127,294.02,319,197,627.9,784.89,644.96,456.5,381.03,161.7,229
"MAST2",599,592.07,579.01,512.07,1656.41,1799.02,1907.03,2495.52,2329.52,2047.81,1897.68,1357.65,2748.18,2337.33,2389.23,1090.09,1848.16,2146.7,2367.23
"KAT5",427.88,399.83,427.85,380.5,927.18,995.88,898.44,888.05,831.92,410.91,514.13,675.39,772.95,825.52,738.52,908.41,1039.28,526.3,656.53
"WWC2",1728.05,1609.94,1661.99,1578.18,3574.16,3986.12,4416,5149.78,3805.14,1425,1240.98,1461.52,1659.91,1539.88,1975.95,1872,2114.84,2107.56,3315.29
"CD163",2,1,0,1,0,6,1,209,197.26,16,22,16,3,0,2,10,3,6,7
"MYL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2Z",1118.11,1051.99,1057,999.6,2941.86,3502.65,3892.58,3596.01,3216.28,3428.19,3725.37,4105.35,4421.07,4207.72,4315.87,2484.07,2892.74,2199.73,3341.57
"RGPD4",9.19,14.3,7.23,9.83,43.22,45.91,54.34,37.53,44.28,50.81,44.72,85.23,20.57,35.42,29.14,62.56,65.76,30.73,29.03
"PHYHIPL",1.14,9,4.43,8.77,24.28,46.29,30.42,134.37,149.07,1.29,1.26,0,0,0,0,29.29,35.24,62.85,70.39
"OR9A4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"ELF2",362.85,324.81,330,335,924.92,970.57,1066.74,1227.59,852.09,1151,1260,1184.04,567.03,743.8,681.27,763,1007.74,959.39,1538.93
"RAB14",638.39,589.99,568.97,593,1711.23,1991.98,2155.06,2415.43,1892.15,3703.76,3851.59,4487.53,2317.1,2321.59,2419.36,1680.58,2291.58,1900.34,2990.66
"CDH1",3217.03,3216.92,3034.41,2922.87,8058.05,9028.01,9233.63,1671.17,1834.61,398.71,61.13,362.47,30.46,40.16,37.99,99.84,65.19,28107.96,29127.08
"IZUMO1",3,7,5,3,3,6,14,0,6,33,19,59,0,0,0,3,3,4,2
"LOC286238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMIE",10,8,11,6,13,13,8,17,11,23,21,18,1,2,2,2,3,1,3
"PRDX2",2968.59,2883.84,2696.17,2486,7584,8808.56,8397.85,7959.94,8200.48,4292.85,4503.69,4814,3963.64,4201.28,3630.07,7326.04,9568.81,2677.56,4347.64
"APOA2",1,2,1,0,1,9,5,1984,1711.95,2,0,1,0,0,0,1,3,6,4
"AQP4",12,16,16,14,24,28,17,55,39,33,11,3,0,0,0,18,14,5,14
"PSMC6",910,828,855,814.43,3005,3600.23,3685,2798,2266,1427,1418.99,1775,1554.92,1379.36,1420,1601,2402,1053,1638
"SLC2A8",318.99,348.06,331,335.01,1108.64,1302.12,1278.15,961.86,961.38,210,234.29,179,303.71,308,272.77,391.99,383.98,1764.12,2129.48
"MKNK1",162.56,145.3,135.24,162.76,313.45,306.95,393.85,688.64,710.02,1152.51,1324.91,1184.76,553.93,687.23,681.8,537.2,738.35,647.31,750.46
"GAGE12D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf4",161,129,129,149.97,358.81,429,470.26,413.98,313,432,453,546,622.77,549.9,627,324.99,507.4,368,599
"CPLX1",1,7,8,3,15,21,7,24,24,3,6,3,6,8,3,14,3,90.97,83
"SUV39H1",294,308,324,258.87,908,1062,960,442,479.73,275.7,275,261,232,203,159,605,770.2,254,372
"USF1",668.04,672.06,677,649,1385.69,1621.61,1851.81,1398,1495,1663.01,1760.02,1925,803,745,666.99,1228.6,1568.01,863,1200.56
"R3HDM2",289.49,305.49,261.35,226.71,818.22,772.78,812.76,1668.73,1657.68,1675.62,1633.25,1379.49,1319.14,1450.87,1433.45,2753.11,1781.19,1259.89,2022.23
"USP29",0,1.1,0.78,0,3.15,5.04,5.23,3.38,3.65,2.07,4.73,3.1,3.83,1.41,2.32,8.57,7.79,0,2.51
"TMPPE",47.13,44.19,42.16,39.13,49.13,77,62.97,49.21,31.07,56.11,65.11,65.4,44.89,41.14,53.1,77,58.14,269.38,490.44
"HIST1H2BC",2.38,3.38,7.22,5.6,9.01,19.8,7.09,13.95,6.29,5.77,5.98,12.22,34.58,20.15,24.52,6.49,4.48,8.13,13.63
"TTLL2",3,0,2,4,6,4,11,8,3,1,0,0,0,0,0,12,1,7,3
"GBP5",121.52,131.25,111.65,96.36,251.05,269.63,277.03,463.71,450.95,141.9,131.11,162.19,80.27,68.14,79.03,259.58,295.85,162.23,198.56
"ALG5",187,174,172,177,564,629,669,659.99,603,451.91,443.6,524,615.99,521,560,319,430.51,547,604.01
"OR4C45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DBNDD1",821.28,775.31,731.72,689.28,1376.7,1027.88,1236.71,934.7,1022.34,278.06,196.96,249.85,312.98,418.16,362.35,715.16,498.57,143.83,233.12
"RBP1",253.15,257.95,225.4,222.43,575.44,689.28,646.69,1374.94,1289.13,1630,1718.9,1753.73,10.13,21.99,15.34,706.3,449.28,133.85,200.63
"ITGA5",575,579.79,610,540,966,639,914,14988.89,12371.17,32954.09,35009.39,32388.7,19781.68,18117.2,18911,5669.77,6138.25,2440.88,2110.77
"SNX5",2088.56,2136.56,2015.72,2087.95,4993.93,5877.73,5686.16,2667.93,2122.35,1754,1761.31,1689.9,2177.1,2457.78,2298.96,2792.58,3821.19,2635.37,4296.33
"ANKRD16",80.35,110.07,77.77,74.16,271.77,367,301.46,226.73,197.94,91.87,114.09,113.43,152.32,153.41,136.83,302.86,263.95,100.86,130.22
"OR52B4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"GTSE1",593.74,549.15,497.05,507.98,1653.37,2011.83,2191.98,1639.35,1490.18,1300.83,1270.32,1229.55,528.07,511.34,439.67,2168.1,3087.8,408.3,691.28
"KCNIP2",39,29,37.68,50.97,76.78,77,76,28,47,63,92,79.01,54,61.02,28,448.99,260,58,43
"STX2",227.44,212.17,189.21,211.6,693.92,716.13,876.02,1358.76,1115.81,937.95,1030.25,948.83,1331.81,1333.64,1404.08,1508.13,1779.73,424.26,449.8
"NKX2-5",2,1,1,0,93,136,124,281,156,58,56,119.24,0,0,0,0,4,1,0
"TRIM23",161,165,137,165,416,565.99,534.1,438,292.85,279,332.87,358,365,359,411.49,436.06,456.1,336.76,589
"RSPH9",3,2,9,2,7,9,15,11,33,21,25,42,38,56,44,67,81,9,8
"CAMK2N1",53,46,49.16,35,196.29,153.34,160.98,190,76.94,136.09,74.94,66.84,2438.63,2895.78,3157.18,791.55,451.14,161,294
"HIST1H4F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"CLCC1",310.13,331.59,285.09,270.42,804.23,871.01,1040.46,1199.25,1109.97,802.13,709.81,630.61,1037.81,1065.52,1215.95,1033.3,1042.74,1010.13,1008.92
"CNFN",61,48,41.97,56,129,134,133,19,22,16,12,16,12,13,20,110,80,11,26
"ZMYND8",2125.23,2066.39,2094.38,1992.42,4898.01,4967.53,5321.01,2685.04,2210.02,3223.18,3320.04,3737.19,802.99,778,789.11,5372,3829.24,1030.99,2074.05
"OR6B3",0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0
"MAP1A",100,104,99,87,322,542,433,198,87,80,63,99,10248.92,11379.54,12433.8,768,3246.05,1308.41,2468
"CPXM1",416,407.1,377,355.81,2002.62,2044.19,2368.64,3313.26,3006.75,6931.93,7291.01,6144.67,655,1464.85,1134.98,6038.42,7435.84,1816.13,1288.03
"XPA",44.97,55,43,42.04,149,220,208,235,232,121,143,244.07,179,221.12,211,190,232,204.88,308
"RAB3IP",269.39,265.43,247.42,252.29,733.29,753.93,825.91,1088.3,921.24,449.7,520.26,488.37,25.07,29.28,47.01,1095.49,649.16,756.06,1035.94
"NDUFAF2",289,288,289,309,683,842,850,353,294,278,258,224,669.65,672,593,300,609.55,154,251.98
"SRCAP",1461.05,1533.09,1444.45,1373.28,4856.18,5204.49,5866.9,4754.46,3563.53,3476.75,3539,6386.8,2466.94,2603.31,3046.74,5212.41,6126.64,2878,4071.98
"TAT",9.84,5.14,7.02,7.3,20.19,16.77,16.43,21.36,26.26,16.14,14.33,31.95,8.43,0.87,15.26,42.82,42.29,25.84,34.12
"DEFB129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTOP1",0,1,2,1,0,2,2,0,1,10,10,14,2,1,9,6,41,3,3
"TNNT2",129,138,136,129,47,61.65,109,63,25,5,4,4,0,0,1,40,307,3643.21,3210.76
"H2AFJ",335.15,345.99,344.74,291,387,454,437,501,380,590,621.95,496,1449.17,1431.98,1161.88,304.48,223.95,1155.23,1644.91
"RRAS2",1887.58,1740.34,1641.88,1709.08,3561.72,4068.93,4262.68,2070.88,1613.87,749.04,764,911.19,2143.55,1865.74,2110.31,830.33,1575.49,1508.7,1650.54
"CCL13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF4V1",0,1.82,1.33,0,1.17,1.43,2.68,0,0,0,0,0,0,0,0,0,0,0,0
"GSDMD",390.1,385.02,369,341.88,556.55,620.38,654.42,1221.69,1323.52,1463.47,1744.08,1115.55,1298.19,1678.98,1319.05,265.58,126.11,902.29,1010.1
"TMEM55A",303,287.02,280.22,265.01,804.62,948.76,1000,219,161.33,1025.82,1042.09,1085.01,454.99,485.94,507.94,333.33,404,777.87,1031.93
"DUSP12",328,276,312.79,260,681,845,807,662.09,603,492.43,470,477,390,424,367.99,518.91,782.2,343,452
"EFHB",5,5,1,7,15,8,16,7,4,8,8,12,5,7,13,42,34,18,18
"DCTPP1",869,907.76,909.65,806.98,2109.23,2294,2418.92,1172,1107,1667.71,1704.76,1160.14,524.87,447.94,435,688.19,1651,223,325
"FBXL17",33.38,35.03,34,34.06,119.43,138.16,154.03,279.02,210,449,545.34,359,565,589.85,704,245.65,254.01,301,572.06
"ETV1",811,790,750,768,2526.65,2953.96,3145.16,680.73,399,818,948.08,680.25,801.02,578.39,589.84,1977.49,1030.69,1,3
"NDUFV2",1048,976,979.95,941.96,3167.07,4400.1,3891.9,1496.84,1348.84,1401.66,1417.94,1445.95,1790.99,1738.46,1634.42,1190,2055.04,1104.57,1908.61
"SIRPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPC1",136,142,129,117,374,403.55,451.21,483.93,318,487.99,506.99,500,365,334.75,389.01,441.88,554.4,441,524
"CLSPN",565.95,511.02,530.16,500.31,1644.65,1831.68,1995.17,1512.65,1252.24,354.95,356.94,441.52,463.84,356.76,388.56,1436.07,2487.63,513.37,722.7
"PSMD14",1301.76,1209.01,1191,1211,4274,5331.72,5187.77,2995.78,2759.14,1513.99,1578,1597,1766.99,1559,1608.92,1447,2997.97,1165,1844
"DDI2",304.36,256.09,335.09,253,724.51,1013.93,1032.87,474.22,125.46,363.03,290.17,346.89,140.69,162.14,192.04,461.07,512.31,247.88,527.27
"IAH1",43,58,52,47,171,204,246,471,462,292,294,201,1315.95,1351.09,1262.65,251.24,281,211,324
"WNT5A",53,54,55,52,122.01,150.02,172,880.78,210.35,167.99,54,41,9238.86,12964.98,16072.99,162.04,214,2777.96,2432
"ADH1C",0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,3.94,0,0,0,0
"GPR84",2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,5,3,0
"TNC",238.61,222.34,250.15,229.17,201.99,236.16,285.31,9441.9,6807.37,3110.18,2867.05,3158.58,43578.09,47660.3,44087.62,5175.19,5420.21,19370.44,17744.63
"SEZ6L",4,2,2,3,10,10,9,1118.51,159.35,218,117.02,178,0,1,0,51,17,2,1
"CYP4Z1",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
"ARFIP2",653.19,633.79,616.24,567.3,1673.38,2046.65,1927.22,1812.39,1664.85,987.95,1022.31,1040.3,1812.23,1785.08,1719.56,1122.59,1594.11,1476.08,1986.16
"INSL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,19
"DTX3L",166.11,166.94,171.47,170.08,363.83,381.65,434.29,217.51,161.18,358.08,363.09,262.99,1571.71,1639.63,1894.61,220.15,180.38,839.06,1314.07
"PIP5K1A",1259,1146.75,1154.66,1155,3128.77,3797.32,4039.6,4582.04,3503.12,3194.58,3060.75,3600.16,2568.64,2489.43,3000.92,3738,3942.12,3034.81,3716.33
"LITAF",1390.81,1217.03,1204.61,1216.25,2178.03,2557.17,2272.86,1600.78,1296.05,2443.85,2430.41,2146.88,5063.04,5732.48,6299.74,1357.74,1667.77,2377.08,3700.3
"MMEL1",3.52,6.93,8.15,2.26,2.34,8.02,0,1.16,0,30.74,10.59,13.94,1.16,0,2.32,11.51,14.94,0,0
"OR2F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO41",392,347,348.01,357,859,711,824,273,315,53,104,84,231,258,215.1,1090,654.46,204,184
"HTR1D",21.22,18.51,22.32,27.89,23.32,58.91,54.43,114.17,132.83,37.55,60.09,71.01,4.69,1.01,0,299.38,170.65,23.69,11.84
"ASB10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HBP1",314.39,273.86,278.67,298.17,688.35,833.36,793.32,1007.78,801.96,1314.84,1592.83,1878.49,1758.15,1981.55,1929.84,1553.39,1209.79,798.82,1195.22
"VAMP2",138.37,150,152.27,161,628.02,602.64,601.89,651,784.69,584,646.85,911.81,906,999,880.88,1349.15,1082.3,677.58,903.01
"ZNF687",834.16,803.56,754.17,664,1915.13,1962.11,1796.51,1912.21,1759.25,1235.99,1361.56,1245.29,704.2,802.39,680.5,1949.19,1932.98,742.97,1329.09
"MEX3C",1056.09,1103,946.98,1113,3443.76,3691.55,3996.51,3441.82,2425.81,1748.54,1800.99,3315.11,1078.21,1033.06,1276.07,2164.03,3072.96,1804.78,2457.38
"PCDH11X",100.66,132.69,140.44,139.83,388.58,383.93,393.59,202.31,60.64,60.58,3.76,53.59,6.54,4.3,5.6,1150.93,435.67,433.42,557.85
"SOCS6",351.03,296,310.82,318,783,864.32,964,1534,977,1017,1136.21,1968.01,1016,833.27,1007,1109.99,1003,977.31,1471.51
"OSGEPL1",100.75,55.95,58.94,63,208,170.76,182.86,152.03,141,176.95,162.34,104.05,142,99.85,96.99,459.96,411.88,94.79,174
"ITGB4",30,25,25,39,92,57,70,63,64,26,22,33,24,35,35,48,11,1097.02,1462.24
"HERC3",41,35,39.4,26,84.35,64.22,77.61,158.6,49,225.37,248.89,229,976,841.27,839.97,90,119,637.1,823.83
"CROT",32.83,36.18,26.64,37.98,88.16,107.46,131.85,672.17,623.64,558.24,374.34,237.5,790.37,536.26,538.06,600.24,419.24,321.2,395.93
"ANKRD36B",87.87,79.11,66.51,69,225.37,201.11,256.78,490.45,506.42,486.55,496.45,487.21,179.36,175.01,207.77,1207.96,706.99,333.34,246.76
"ARHGAP31",99.16,102.14,92.54,96.45,169.14,149.15,177.73,958.63,493.85,5687.45,5604.62,8831.23,1172.88,1089.37,1241.59,92.56,76.45,1591.32,3249.26
"CCDC121",19,19,18,24,67.72,71,74,111.08,108,140,130,56,26,35,42,118,113,100.62,120
"PANX3",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"HSPA9",7008.18,6831.71,6873.05,6744.56,17409.9,22066.37,22099.24,8855.3,8328.58,4443.42,4569.69,6611.92,7370.83,6531.52,7535.05,4705.3,9122.66,3440.36,4849
"CASP3",1242,1164.76,1081.66,1079.97,3318.02,4074.85,4033.41,2873.88,2455.06,1479,1730,2087.2,1005,977.96,1015.98,825.03,1537.99,1201.1,1786.19
"XYLT2",481.18,482.99,408,416,948.65,1206.21,1170.53,2049.19,2158.73,1749.14,1721.95,1031.47,1438.01,1537.35,1407.98,1113.02,1191.67,695,871.21
"WWTR1",236.96,243.46,224.63,209.46,573.41,634.98,569,1483.85,908.49,5803.86,8117.04,11751.46,1733.8,1803.62,1996.82,516.44,855.21,1774.11,2960.62
"GGT5",1,0,3,2,5,1,3,33,18,541,718.49,580.33,242.97,281.29,249.33,16,8,5,13
"PRAMEF10",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"THRSP",0,1,1,1,0,1,0,1,2,2,1,2,0,0,0,0,0,6,10
"ERCC3",762.35,746.53,755.37,732.92,2062.42,2571.99,2531.05,2638.64,2445.97,1825.42,1847.01,1846.35,1452.8,1467.81,1397.01,2282.52,2381.7,1456,1899.82
"TLL2",37.77,43.01,43,42.32,164,197.69,200.36,25.31,8.74,8.82,12.49,20.13,10.61,18.39,7.48,53.6,49.33,22.82,22.87
"RAVER2",343.02,331,326,326.98,1115.13,1313,1467,708.71,587,611,443.01,342,221,237,279,736.62,848,283,469.81
"PGAP2",479.48,438.01,413,429.55,1222.65,1228.05,1288.94,657.05,653.9,292.95,237.73,250,371.8,365,363.17,661.83,729.89,540.9,869.75
"TXNDC11",189,181.26,176,161.36,429.3,596.18,563.17,816.98,794,849.73,895.45,1179.77,1020.56,986.03,1098.01,291.17,419.83,592,644.6
"SUOX",412.43,379.08,385.97,332.12,787.93,852.64,936.4,1387.71,1591.78,807.31,804.12,541.66,543.66,523.11,465.59,958.71,1201.15,499.38,784.28
"DNM2",1729.85,1744.56,1620.04,1532.57,4128.45,4444.08,4477,5392.91,5154.26,5300.36,5741.02,5703.99,3415.12,3419.98,3268.4,4571.86,5157.63,2957.2,4392.86
"GNB2",1451.98,1439.99,1369,1285.99,3045.26,3211.3,3193.33,7246.51,7936.75,8313.76,9033.9,8494.92,6404.15,6541.2,6224.33,3379.61,5259.79,4500.39,7094.91
"KLK6",23,22,18,11,28,24,36.99,14,2,2,1,4,0,0,0,18,25,529.66,666.55
"CENPJ",349,301,299,316,1125,1106.1,1608,1212.02,879,753.88,670,620,235,216.97,179,1681.06,1748.57,395,553.09
"CLSTN2",8,8,4,4,33,26,21,2294.33,1358.78,8,16,9,14,34,60,40,224,270,384.99
"SMCP",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MTRNR2L6",161.99,215.69,206.14,179.1,166.93,165.6,267.46,276.91,356.05,659.11,581.27,455.39,449.34,435.32,309.73,1231.63,329.85,727.81,358.03
"TRIM44",824.68,818,755.14,766.99,1955.13,2260.26,2470.99,2630.78,1451,1561.91,1614.3,1645,1959.65,2403.32,2747.03,3194.31,2431.83,1358.02,2253.93
"NCOA3",324.13,347.18,322.18,354.81,1033.26,1149.18,1264.31,1325.55,936.42,3164.95,3256.89,4762.88,1422.3,1557.89,1880.38,3093.85,2066.04,1972.89,2677.33
"GPC3",783,820,763,756,3050.15,3499,3321.49,456,272,1458.38,764,1226.99,18,16,26,32849.4,13134.84,3339.38,3224.81
"NAGK",345,315,315.77,315.31,657,869.01,938.79,1531.26,1706.95,1016.09,1224.77,1481.96,2068.41,1743.45,1637.54,758.22,831.79,1350.93,2190.04
"OR2T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC105",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SLC12A5",11,10,17,7,48,26,40,61.02,46.02,92,124.04,128.2,5,4,3,46.87,66,83,118
"ITGAD",0,0,0,0,0,3,3,0,0,1.01,0,0,0,0,0,0,0,0,0
"CD200R1",4,1,0,2,4,2,1,4,3,0,2,9,2,0,1,3,5,4,11
"IGFN1",0,0,0,1,3,0,1,1,4,0,0,0,6,6,3,95,81,7,7
"HRNR",0,0,0,0,0,0,0,0,1,0,1,0,15,18,31,0,0,0,0
"H2AFB1",0,0,0,0.5,0.5,0,0.5,1.42,0,0.5,0,0,1.5,0.5,0,2,4,0,0
"MED6",331.62,313.21,318.39,342.68,1013.74,1364.41,1092.86,793.63,705.92,780,871.27,1080.47,558.85,511.39,558,875.58,943.53,496.2,763.48
"ORC6",631.18,646.35,597.3,592.95,1728.98,2208.94,2331.19,1297.93,1317.5,425.85,416.44,494.71,248.74,197.6,190.61,1644.51,2066.67,563.97,736.71
"FAM131B",721,679,732.87,673.99,1335,1440.39,1564.04,63,36,100,87,160,77,85,100,2599.22,2284.93,88,81
"PRELP",2008.27,1939.78,1923.95,1929.07,5099.78,4536.8,5380.83,4706.12,5689.53,172.33,151.47,216.85,376.73,666.82,840.87,549.17,953.78,224.83,271.25
"TRAPPC12",505.94,492,523,427.99,1043.02,1211.71,1188.58,1293.1,1021.18,1015.06,1148.77,1127.04,1149.98,1064.67,1023,929,1198.08,645.97,1066.97
"SLC25A38",645.71,631,608,552.98,1285.98,1731.02,1716.83,1197.46,1061.44,529.01,475,536,805.84,875.02,862.34,644,951,967,1469.34
"WHSC1L1",571,580.54,578.6,571,1789.59,2022.44,2376.4,1996.96,1292.21,2330.91,2453.67,1958.8,1353,1502.05,1709.23,3792.09,2860.62,1026.99,1880.99
"PLAGL2",700,702.92,671,633,1608.94,2089.61,2130.01,1433.85,1191.02,1551.25,1548.64,2431.4,517,537,575,3026.51,2969.69,778.01,1462.97
"MYD88",547.2,571,534,497,1132,1473,1577,1120.84,959.03,1008,1245.96,1050.74,1662.65,1544.93,1470,703,671.11,904,1342
"HLX",5,4,3,2,13,13,13,664.14,913.72,578,724.98,4170.96,239.98,314.99,255.65,2,1,4,10
"HSH2D",27.19,25.43,34.67,39.23,57.88,58.43,102.46,37.89,47.82,45.74,41.28,38.92,20.56,24.93,25.51,66.86,38.23,50.76,47.86
"PPIAL4A",0,0,0,0,0,0,0,1.41,0,0.02,2.17,0,0,0,0,0,0,0,0
"IL1RAPL1",2,0,0,1,2,2,0,0,3,3,3,1,2,3,3,60,35,0,5
"SLC38A4",309.8,318,302.99,301,605.96,520,572.74,6,2,17,9,9,274,342,319,251,234,30,62
"ZNF281",1192.68,1084.79,1061,1073,3380.08,3538.14,3427.92,2174,1378.6,1390.71,1611.09,1771,1124.65,859.28,1052.17,1677,1645.4,518.7,822.05
"DCP2",1657.65,1577.81,1394.43,1642.35,2840.35,2721.85,3732.54,2713.03,2109.23,2011.72,2023.53,2612.2,373.23,373.73,452.22,3032.16,4763,1831.83,3013.01
"LSM11",56,51,51,59,108,111,136,155.47,69,196,176,148,45,63,38.98,219,259.01,111,151
"ERRFI1",758.05,702,680,683,2964.17,2765.07,2959.97,4350.3,2838.71,812,933.01,902.05,1045,800,907.1,1324.03,898.01,6182.29,7973.4
"PRH2",1.11,1.11,1.25,1,1.08,2.17,2.24,3.45,1.13,3.21,5.62,9.55,4.3,2.2,4.46,8,6.74,5.59,6.59
"AGTRAP",653,678,641.06,548.96,1177,1094.88,1192,1069.98,1110.61,663.25,609.42,543,800,1138.82,913.78,776.07,1164.94,774,1185.59
"SPRR1B",1.52,3,1,1,0,0,0,3.24,1,0,0,0,0,0,0,0,0,0,0
"C3orf71",19.29,14.58,16.5,10.88,25.45,37.95,32.75,38.23,39.48,9.12,17,30.7,27.45,48.34,33.77,53.94,51.03,37.95,42.14
"PHF13",708.66,696.92,648.87,588,1334.32,1776.3,2035.95,2262.12,2139.07,1480.11,1474.98,2353.45,918.67,976.88,1044,2658.52,2647.1,1896.78,1908.77
"PITPNC1",491,439,480,406,964,1215,1265,510.01,514,465.37,471.99,430,265.99,245,264,408,375.51,71,101.09
"KRT10",288,313.3,250,257.79,661.68,800.98,666.1,611.99,623.46,352,402.97,362.29,823.94,749.06,746.42,298.6,539.98,316.07,501
"CXorf26",303,324,309,308,1212,1556.96,1434.27,784,650,660,764,1006.87,569,527.11,513,459,771,576,763.68
"LOC149373",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FABP5",1455.01,1415,1408.25,1313.84,3840,5337.42,4684.1,3139.99,2484,610,551,556.84,465,386,385,394.17,1514,150,218
"MMP23B",46,41,43,38,70,21,76.96,165,92,757.78,932.12,894.45,30,52,32,95,118.8,506.1,480
"DLX2",0,1,2,1,4,3,0,2,2,3,2,2,85.05,33,27,6,11,84,29
"FGD1",439,506,455.73,401,1250.99,1133,1311.95,1385.85,1042,1318.03,1308.83,1059.04,981.76,1003.95,1091,2563.24,2306.69,545.99,937
"APBB1",317.1,322,329,302.95,865.12,819,843,2026.99,1843.11,1972,2228.86,1576.96,1569.36,1938,1688.6,2551.01,3509.71,1241.1,1849
"LEAP2",7,1,0,5,9,14,12,7,10,6,7,2,1,2,1,21,22,8,7
"GLO1",2471.51,2487.34,2113,2278.82,6094.75,6527.73,6696.16,4589.08,3716.76,3167.6,3363.68,2911.75,2466.81,2413.73,2598.53,3689.18,5509.74,1299.37,2229.28
"RGS14",125,112.03,113,124,292,232,305,275.97,375.16,285,370.01,190,101,94,91,181,212.37,110,187.03
"GABRB3",1874.33,1882.01,1821,1855,5838.12,6863.4,6607.35,5077.5,4251.65,103.09,90,62,47,46,54,378,575,282.8,431.94
"LAMP2",524.36,447.46,484.57,467.23,1289.52,1512.77,1543.78,1642.53,1243.31,2540.7,2733.48,3009.3,5550.9,5910.26,7068.48,924.75,1110.68,3760.89,4218.07
"NCL",18922.01,18035.03,17958.78,17276.12,52558.93,65601.37,63411.4,24237,20543.3,10107.42,10346.9,13437.53,13174.04,12932.26,12690.49,18753.32,30144.56,8563.56,13656.79
"RCSD1",11,11,13,6,14,14,9,377.14,33,3250.81,3610.62,3040.29,0,1,1,17,84,36,30
"TTC28",220.8,211.76,206.48,153.66,845.43,819.66,875.26,1245.79,680.7,3571.02,4043.18,3378.7,1355.17,1553.27,1886.71,4121.43,3390.1,583.46,806.07
"HNRNPH3",2418.61,2233.11,2113.11,2199.11,8334.87,9655.27,10672.38,6396.22,6635.48,4523.94,4084.4,4281.25,2974.15,2890.69,2530.84,10271.7,9937.19,2618.12,3852.54
"RUSC2",89,83,86.58,96,355,318,352.95,1151.35,1041,895,983,876,2353.96,1873.74,2208,986,987,681,612
"POLR3GL",23,27,30,18,37,52,56,246.28,210,647.1,597.57,504,674.16,791.82,665,248,307,42,71
"RAF1",1721.06,1715.46,1700.49,1643.24,4078.36,4799.57,5038.62,3700.47,2981.94,2981.41,2883.31,3603.88,3345.3,3464.84,3463.03,3741.07,5045.79,1853.95,2586.11
"UBXN4",977.59,990.37,950.61,1006,3081.87,3580.14,3972.48,3388.04,2582.09,3665.04,3654.74,3547.79,3442.75,3577.1,3790.26,3434.27,3948.48,3023.28,3862.17
"OVOL1",45,44,62,61,65,80,100,399.98,456,9,5,14,0,1,0,4,2,291,290.97
"SYS1",271.53,292.64,298.88,305.21,582.03,747.57,779.04,1604.81,1489.56,407.62,462.54,670.81,726.05,778.82,878.32,592.62,795.9,874.94,1200.66
"FAM108C1",335,292,320.14,257,913.05,1069.01,1191,543.99,547,157.03,128.98,177,845.18,849.99,948.82,373.81,480,427.98,780.2
"GPC6",359,363.01,311,348.1,824,806,989.22,2711,1648,777,713.84,733.99,730.12,718.01,745.15,3486.3,1258.02,314.04,355
"RUFY3",338.99,338.07,318.25,332.99,847.87,767.51,977.1,1677.99,1256.43,2040.35,2252.97,1947.99,1071.65,1049.96,1029.23,2280.89,2106.87,825.03,1076.44
